StationName,ObservationDate,Year,Precipitation,PrecipitationRank
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1950,0.49,90
DETROIT CITY AIRPORT MI US,00:00.0,1950,0.96,61
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1950,1.69,66
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1950,1.28,41
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1950,1.51,16
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1950,1.47,20
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1950,1.15,67
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1951,0.56,59
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1951,1.94,43
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1951,1.5,76
DETROIT CITY AIRPORT MI US,00:00.0,1951,0.88,77
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1951,2.55,21
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1951,1.9,47
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1951,2.43,2
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1951,0.68,10
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1951,0.53,70
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1952,1.06,98
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1952,2.33,37
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1952,2.27,4
BOSTON MA US,00:00.0,1952,1.63,81
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1952,1.13,76
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1952,1.76,50
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1952,1.15,67
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1952,2.3,40
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1952,2.15,59
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1952,2.42,30
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1952,0.41,90
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1952,0.44,69
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1952,0.69,7
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1953,0.68,32
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1953,1.18,61
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1953,2.03,74
